#nrNodes nrCollisions nrTransmissions OverallEnergy
1 0 3 0.002800512
2 0 21 0.019603584
3 0 24 0.022404096
4 0 40 0.03734016
5 0 45 0.04200768
6 0 57 0.053209728
7 0 56 0.052276224
8 0 78 0.072813312
9 0 76 0.070946304
10 0 71 0.066278784
20 0 185 0.17269824
30 0 253 0.236176512
40 2 348 0.324859392
50 0 455 0.42474432
60 0 489 0.456483456
70 0 562 0.524629248
80 2 686 0.640383744
90 0 795 0.74213568
100 0 885 0.82615104
110 4 942 0.879360768
120 0 1067 0.996048768
130 0 1062 0.991381248
140 2 1202 1.122071808
150 4 1275 1.1902176
160 4 1411 1.317174144
170 2 1431 1.335844224
180 6 1546 1.443197184
190 6 1639 1.530013056
200 6 1701 1.587890304
210 6 1828 1.706445312
220 4 1909 1.782059136
230 4 1971 1.839936384
240 8 2115 1.97436096
250 14 2126 1.984629504
260 10 2342 2.186266368
270 14 2328 2.173197312
280 10 2375 2.217072
290 6 2495 2.32909248
300 10 2543 2.373900672
350 14 3004 2.804246016
400 22 3485 3.25326144
450 16 3926 3.664936704
500 24 4239 3.957123456
550 34 4725 4.4108064
600 57 5286 4.934502144
650 54 5460 5.09693184
700 58 6098 5.692507392
800 74 6908 6.448645632
900 90 7759 7.243057536
1000 120 8719 8.139221376
