#nrNodes nrCollisions nrTransmissions OverallEnergy
1 0 7 1.218674688
2 0 16 2.785542144
3 0 21 3.656024064
4 0 30 5.22289152
5 2 46 8.008433664
6 0 51 8.878915584
7 0 60 10.44578304
8 2 61 10.619879424
9 2 91 15.842770944
10 2 86 14.972289024
20 6 165 28.72590336
30 15 250 43.524096
40 38 346 60.237348864
50 53 441 76.776505344
60 88 569 99.060842496
70 107 635 110.55120384
80 102 673 117.166866432
90 193 829 144.325902336
100 221 889 154.771685376
110 218 955 166.26204672
120 284 1056 183.845781504
130 347 1116 194.291564544
140 378 1222 212.745781248
150 357 1245 216.74999808
160 476 1383 240.775299072
170 539 1472 256.269877248
180 602 1612 280.643371008
190 686 1698 295.615660032
200 737 1797 312.851202048
210 710 1743 303.449997312
220 826 1893 329.564454912
230 923 1935 336.87650304
240 965 2077 361.598189568
250 1082 2168 377.440960512
260 1099 2205 383.88252672
270 1155 2300 400.4216832
280 1134 2327 405.122285568
290 1318 2508 436.633731072
300 1389 2503 435.763249152
350 1911 3047 530.471682048
400 2173 3405 592.79818752
450 2583 3794 660.521680896
500 3136 4326 753.140957184
550 3544 4654 810.244571136
600 4052 5131 893.288546304
650 4622 5648 983.296376832
700 4999 5983 1041.61866547
800 6142 6991 1217.10782054
900 7104 7864 1369.09396378
1000 8064 8654 1506.63010714
